string,hash,bin_offset
ATTR_TurnTimeRatioForContextualDribble,1B 32 29 4B EC 97 3D 27,13796
ATTR_TurnTimeRatioForDribble,1A 4A 3E 8D B9 DA 7A A4,13848
ATTR_TurnTimeRatioForSprintDribble,64 D7 0A 1D 4E 95 CF DF,13900
ATTR_WalkAcceleration,A8 F2 0C E5 2A 8B 48 F3,
ATTR_WalkSpeed,49 03 A0 B2 C6 C6 E0 AA,
DribbleSprintTouchSlowdownSpeedByAngle,0B 83 3E 2B 00 0E 06 D2,13952
dribbleAggressivenessByDistFromAttackingGoalDifficultyModifier,05 52 15 2E 59 3B 66 E6,21992
dribbleAggressivenessByDistFromAttackingGoalForMaxSkill,59 EE 7B D5 59 06 3F C0,22072
dribbleAggressivenessByDistFromAttackingGoalForMinSkill,7D 7F 6C A9 90 00 B7 85,22152
dribbleAggressivenessByDistFromAttackingGoalMappingCurve,AD 78 1F 33 50 21 A1 FC,22232
dribbleAggressivenessByDistFromDefensiveLineForMaxSkill,88 D3 72 6B 11 CC 45 6B,22312
dribbleAggressivenessByDistFromDefensiveLineForMinSkill,2C C1 09 6B A6 34 3E C7,22392
dribbleAggressivenessByDistFromDefensiveLineMappingCurve,DE 27 70 55 61 37 6F EA,22472
dribbleSafetyChanceToPredictDefenderFuturePosDifficultyForMaxSkill,A7 41 87 A4 70 DE F2 E0,22552
dribbleSafetyChanceToPredictDefenderFuturePosDifficultyForMinSkill,68 A0 63 C4 21 CA 06 58,22632
dribbleSafetyChanceToPredictDefenderFuturePosDifficultyMappingCurve,A2 DC D1 5D 65 D7 AC 4E,22712
dribbleSkillMoveDisable,9E 2B 29 08 8C 69 BE C0,
dribbleTargetUpdateFrequencyDifficultyTable,DB 4A 99 78 69 79 DA 1D,22792
dribbleTargetUpdateFrequencyMaxDifficulty,66 A1 C7 9A DF 2D E6 88,22872
dribbleTargetUpdateFrequencyMinDifficulty,97 BA 20 EE F8 1D CF 7A,22952
dribbleToStopBallPosPPDribbleRatingModThreshold,0B 69 73 BD F7 5A 7B C3,23032
dribbleToStopThresholdBasedOnScaleDistToAttackGoal,86 AF 17 E7 AA ED 8D CA,23112
dribbleToStopThresholdModBasedOnSpeed,CC 86 E3 FF 69 27 40 E3,23192
dribbleUpdateFrequencyDifficultyTable,75 B4 DD 69 10 31 AF 57,23272
dribbleUpdateFrequencyMaxDifficulty,AB D6 5F B4 08 71 3B 5B,23352
dribbleUpdateFrequencyMinCapByAttribute,83 0C 2A 9D 53 07 E0 25,23432
dribbleUpdateFrequencyMinDifficulty,75 67 BF A6 27 E9 A4 23,23512
dribblingSafetyMax,3A E9 6F 48 81 89 DC 3A,23592
dribblingSafetyMaxSprint,CE 46 E8 A4 92 EC 7E E9,23672
dribblingSafetyMin,1B C4 6B 3D CB 7C 19 77,23752
dribblingSafetyMinSprint,C5 A6 DA 7D F3 77 A3 4C,23832
maxDribbleAngleError,93 88 6C 7A A9 69 9B 7C,23912
maxDribbleRandomErrorDifficultyLevelTable,87 71 F2 F9 45 2A 43 3A,23992
maxDribbleRandomErrorMappingTableMaxDifficulty,9A A0 18 E9 ED 92 03 4F,24072
maxDribbleRandomErrorMappingTableMinDifficulty,8B C4 16 69 85 B2 D2 76,24152
chipShotDecisionAttributeScoreDinkType,D1 A7 78 E2 42 E3 DE 8E,25060
chipShotDecisionAttributeScoreLongDrivenType,61 B3 07 0B 28 9A 4C AF,25140
chipShotDecisionAttributeScoreOverGkType,26 1B 31 95 52 22 DF AB,25220
chipShotDecisionBallGoalieDistMax,66 C4 9E 0C 20 90 BF D7,25300
chipShotDecisionBallGoalieDistMin,5F 03 94 71 5F C7 9A DE,25380
chipShotDecisionDinkMaxOptimalDist,E1 49 0A 14 56 8D 94 BF,
chipShotDecisionDinkMinOptimalDist,14 DA 05 C0 E4 E3 85 DD,
chipShotDecisionGkGoalDistMaxLongDrivenType,79 0D D6 3C CE 5E 6F C1,25460
chipShotDecisionGkGoalDistMinLongDrivenType,85 28 C3 5C 25 01 0A D8,25540
chipShotDecisionGoalieGoalDistScoreDinkType,5A 47 C6 6B 32 AC DA AD,25620
chipShotDecisionGoalieGoalDistScoreOverGkType,18 5C 66 C7 DB A6 BF FF,25700
chipShotDecisionMaxDinkShotDist,D6 5A 35 B8 EC D4 EA F2,
chipShotDecisionOverGkOptimalDist,CC 2C 99 F2 86 CC 78 B5,
chipShotProbabilityDinkType,10 02 58 2D D3 18 7B 16,25780
chipShotProbabilityLongDrivenType,8C 3A 30 BF CA 56 B1 E4,25860
chipShotProbabilityOverGkType,92 EE 73 13 18 F8 C3 5F,25940
shotErrorMax,13 30 DB 29 1B 98 60 9C,26020
shotErrorRandomFactorDifficultyMapping,43 2D E1 C7 AF C4 D1 BC,26100
shotErrorRandomFactorMaxDifficulty,24 ED B8 94 44 70 53 A3,26180
shotErrorRandomFactorMinDifficulty,EA F8 CE 35 86 36 FE 0C,26260
shotFinesseAngleDiffFromForwardMax,71 4A 5B 9D 0D F1 ED E1,26340
shotFinesseAngleDiffFromForwardMin,73 9F FD D7 5F DB 41 D1,26420
shotFinesseChance,D6 1D 4E 77 79 59 26 C0,26500
shotFinesseChanceModForNonTraitPlayer,EF 89 14 15 82 3B B9 D7,26580
shotFinesseDistScore,0D 89 AB 03 80 C7 A3 18,26660
shotFinessesMaxAngleDiff,47 F6 28 45 53 A7 D6 BE,26740
shotFinessesMinAngleDiff,0A 08 00 F1 57 7D 62 08,26820
